freq,tra_type,c_load,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,AT,GT06,THS_T,EL	: 	: 	: 	: 	: 	: u	: 	: 	: u	: u	: 	: 	: 	: 	: 
A,HIRE,AT,GT06,THS_T,ES	: u	: 	: u	: 	: u	: 	: u	: 	: 	: u	: 	: u	: u	: u	: 
A,HIRE,AT,GT06,THS_T,FR	: 	: u	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AT,GT06,THS_T,HR	83 	62 	49 	64 	86 	69 	108 	118 	128 	118 	135 	165 	227 	165 	129 
A,HIRE,AT,GT06,THS_T,HU	129 	156 	117 	173 	144 	158 	151 	162 	150 	239 	332 	218 	190 	222 	257 
A,HIRE,AT,GT06,THS_T,IT	420 	369 	157 	262 	296 	248 	218 	387 	81 	: u	188 	230 	134 	493 	351 
A,HIRE,AT,GT06,THS_T,LI	: u	: u	: u	3 	3 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT06,THS_T,LT	: u	: 	: 	: u	: u	: u	: 	: u	: 	: u	: u	: u	: 	: u	: u
A,HIRE,AT,GT06,THS_T,LU	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT06,THS_T,LV	: u	: u	: 	: u	: u	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AT,GT06,THS_T,NL	: u	: u	: 	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u	: u	: u
A,HIRE,AT,GT06,THS_T,PL	210 	185 	287 	297 	: u	301 	357 	242 	297 	536 	298 	563 	327 	496 	265 
A,HIRE,AT,GT06,THS_T,PT	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,HIRE,AT,GT06,THS_T,RO	: u	: u	: u	: 	: 	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT06,THS_T,SI	100 	104 	135 	98 	155 	153 	225 	137 	225 	252 	170 	113 	131 	102 	203 
A,HIRE,AT,GT06,THS_T,SK	90 	139 	: u	: u	103 	: u	: u	149 	98 	180 	136 	: u	: u	: u	: u
A,HIRE,AT,GT06,THS_T,UK	: u	: u	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AT,GT07,THS_T,AT	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT07,THS_T,CH	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,HIRE,AT,GT07,THS_T,CZ	123 	179 	261 	291 	128 	: u	146 	134 	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT07,THS_T,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT07,THS_T,HR	: u	: u	: u	: u	: 	: 	: u	: 	: u	: u	: u	: u	: 	: u	: 
A,HIRE,AT,GT07,THS_T,HU	153 	29 	94 	: u	23 	44 	32 	88 	120 	101 	121 	254 	127 	307 	: u
A,HIRE,AT,GT07,THS_T,IT	: 	: 	: u	: u	: u	: u	: u	: 	: u	: u	: 	: 	: u	: 	: u
A,HIRE,AT,GT07,THS_T,LV	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT07,THS_T,NL	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u	: u	: 	: 	: 
A,HIRE,AT,GT07,THS_T,PL	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AT,GT07,THS_T,RO	: 	: u	: 	: u	: u	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT07,THS_T,SI	78 	53 	75 	63 	101 	100 	116 	26 	53 	75 	134 	244 	218 	216 	98 
A,HIRE,AT,GT07,THS_T,SK	162 	: u	122 	: u	: u	: 	116 	: u	: u	72 	323 	113 	: u	241 	: u
A,HIRE,AT,GT08,THS_T,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AT,GT08,THS_T,BE	: 	: u	: 	: 	: u	: u	: u	: 	: u	: u	: u	: u	: 	: u	: 
